,model,exp_type,verb,action,true,pred,prompt,response
146,jurassic-large,object-control,ordered,to call home,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill ordered Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill ordered Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill called')"
147,jurassic-large,object-control,ordered,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill ordered Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill ordered Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
148,jurassic-large,object-control,ordered,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill ordered Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill ordered Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
149,jurassic-large,object-control,ordered,to dance,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill ordered Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill ordered Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill danced')"
150,jurassic-large,object-control,exhorted,to leave,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill exhorted Mary to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill exhorted Mary to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', ' Bill left')"
151,jurassic-large,object-control,exhorted,to call home,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill exhorted Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill exhorted Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill called')"
152,jurassic-large,object-control,exhorted,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill exhorted Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill exhorted Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
153,jurassic-large,object-control,exhorted,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill exhorted Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill exhorted Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
154,jurassic-large,object-control,exhorted,to dance,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill exhorted Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill exhorted Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill danced')"
155,jurassic-large,object-control,begged,to leave,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill begged Mary to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill begged Mary to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', ' Bill left')"
156,jurassic-large,object-control,begged,to call home,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill begged Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill begged Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill called')"
157,jurassic-large,object-control,begged,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill begged Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill begged Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
158,jurassic-large,object-control,begged,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill begged Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill begged Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
159,jurassic-large,object-control,begged,to dance,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill begged Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill begged Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill danced')"
160,jurassic-large,object-control,entreated,to leave,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill entreated Mary to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill entreated Mary to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', ' Bill left')"
161,jurassic-large,object-control,entreated,to call home,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill entreated Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill entreated Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill called')"
162,jurassic-large,object-control,entreated,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill entreated Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill entreated Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
163,jurassic-large,object-control,entreated,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill entreated Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill entreated Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
164,jurassic-large,object-control,entreated,to dance,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill entreated Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill entreated Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill danced')"
165,jurassic-large,object-control,called upon,to leave,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill called upon Mary to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill called upon Mary to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', ' Bill left')"
166,jurassic-large,object-control,called upon,to call home,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill called upon Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill called upon Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill called')"
167,jurassic-large,object-control,called upon,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill called upon Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill called upon Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
168,jurassic-large,object-control,called upon,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill called upon Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill called upon Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
169,jurassic-large,object-control,called upon,to dance,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill called upon Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill called upon Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill danced')"
170,jurassic-large,object-control,reminded,to leave,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill reminded Mary to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill reminded Mary to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', ' Bill left')"
171,jurassic-large,object-control,reminded,to call home,Mary,other,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill reminded Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill reminded Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill.')"
172,jurassic-large,object-control,reminded,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill reminded Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill reminded Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
173,jurassic-large,object-control,reminded,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill reminded Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill reminded Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
174,jurassic-large,object-control,reminded,to dance,Mary,other,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill reminded Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill reminded Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill.')"
175,jurassic-large,object-control,urged,to leave,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill urged Mary to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill urged Mary to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', ' Bill left')"
176,jurassic-large,object-control,urged,to call home,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill urged Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill urged Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill called')"
177,jurassic-large,object-control,urged,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill urged Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill urged Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
178,jurassic-large,object-control,urged,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill urged Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill urged Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
179,jurassic-large,object-control,urged,to dance,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill urged Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill urged Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill danced')"
180,jurassic-large,object-control,asked,to leave,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill asked Mary to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill asked Mary to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', ' Bill left')"
181,jurassic-large,object-control,asked,to call home,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill asked Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill asked Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill called')"
182,jurassic-large,object-control,asked,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill asked Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill asked Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
183,jurassic-large,object-control,asked,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill asked Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill asked Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
184,jurassic-large,object-control,asked,to dance,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill asked Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill asked Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill danced')"
185,jurassic-large,object-control,pleaded with,to leave,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill pleaded with Mary to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill pleaded with Mary to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', ' Bill left')"
186,jurassic-large,object-control,pleaded with,to call home,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill pleaded with Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill pleaded with Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill called')"
187,jurassic-large,object-control,pleaded with,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill pleaded with Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill pleaded with Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
188,jurassic-large,object-control,pleaded with,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill pleaded with Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill pleaded with Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
189,jurassic-large,object-control,pleaded with,to dance,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill pleaded with Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill pleaded with Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill danced')"
190,jurassic-large,object-control,persuaded,to leave,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill persuaded Mary to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill persuaded Mary to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', ' Bill persuaded')"
191,jurassic-large,object-control,persuaded,to call home,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill persuaded Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill persuaded Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill called')"
192,jurassic-large,object-control,persuaded,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill persuaded Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill persuaded Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
193,jurassic-large,object-control,persuaded,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill persuaded Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill persuaded Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
194,jurassic-large,object-control,persuaded,to dance,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill persuaded Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill persuaded Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill danced')"
195,jurassic-large,object-control,convinced,to leave,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill convinced Mary to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill convinced Mary to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', ' Bill left')"
196,jurassic-large,object-control,convinced,to call home,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill convinced Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill convinced Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill called')"
197,jurassic-large,object-control,convinced,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill convinced Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill convinced Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
198,jurassic-large,object-control,convinced,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill convinced Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill convinced Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
199,jurassic-large,object-control,convinced,to dance,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill convinced Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill convinced Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill danced')"
200,jurassic-large,object-control,forced,to leave,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill forced Mary to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill forced Mary to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', ' Bill\n')"
201,jurassic-large,object-control,forced,to call home,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill forced Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill forced Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill\n')"
202,jurassic-large,object-control,forced,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill forced Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill forced Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
203,jurassic-large,object-control,forced,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill forced Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill forced Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
204,jurassic-large,object-control,forced,to dance,Mary,other,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill forced Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill forced Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill.')"
205,jurassic-large,object-control,pushed,to leave,Mary,other,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill pushed Mary to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill pushed Mary to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', ' Bill.')"
206,jurassic-large,object-control,pushed,to call home,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill pushed Mary to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill pushed Mary to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', ' Bill called')"
207,jurassic-large,object-control,pushed,to reply,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill pushed Mary to reply.

Question:  Who replied, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill pushed Mary to reply.\n\nQuestion:  Who replied, Bill or Mary?\nAnswer: ', ' Bill replied')"
208,jurassic-large,object-control,pushed,to wipe the counter,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill pushed Mary to wipe the counter.

Question:  Who wiped the counter, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill pushed Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Mary?\nAnswer: ', ' Bill wiped')"
209,jurassic-large,object-control,pushed,to dance,Mary,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Bill pushed Mary to dance.

Question:  Who danced, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Bill pushed Mary to dance.\n\nQuestion:  Who danced, Bill or Mary?\nAnswer: ', ' Bill danced')"
210,jurassic-large,object-control,told,to leave,Mary,Ellen,"You will be given a context and a question. Answer the question with either ""Ellen"" or ""Mary"".
Context: Ellen told Mary to leave.

Question:  Who left, Ellen or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Ellen"" or ""Mary"".\nContext: Ellen told Mary to leave.\n\nQuestion:  Who left, Ellen or Mary?\nAnswer: ', ' Ellen left')"
211,jurassic-large,object-control,told,to call home,Mary,Ellen,"You will be given a context and a question. Answer the question with either ""Ellen"" or ""Mary"".
Context: Ellen told Mary to call home.

Question:  Who called home, Ellen or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Ellen"" or ""Mary"".\nContext: Ellen told Mary to call home.\n\nQuestion:  Who called home, Ellen or Mary?\nAnswer: ', ' Ellen called')"
212,jurassic-large,object-control,told,to reply,Mary,Ellen,"You will be given a context and a question. Answer the question with either ""Ellen"" or ""Mary"".
Context: Ellen told Mary to reply.

Question:  Who replied, Ellen or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Ellen"" or ""Mary"".\nContext: Ellen told Mary to reply.\n\nQuestion:  Who replied, Ellen or Mary?\nAnswer: ', ' Ellen replied')"
213,jurassic-large,object-control,told,to wipe the counter,Mary,Ellen,"You will be given a context and a question. Answer the question with either ""Ellen"" or ""Mary"".
Context: Ellen told Mary to wipe the counter.

Question:  Who wiped the counter, Ellen or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Ellen"" or ""Mary"".\nContext: Ellen told Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Ellen or Mary?\nAnswer: ', ' Ellen wiped')"
214,jurassic-large,object-control,told,to dance,Mary,Ellen,"You will be given a context and a question. Answer the question with either ""Ellen"" or ""Mary"".
Context: Ellen told Mary to dance.

Question:  Who danced, Ellen or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Ellen"" or ""Mary"".\nContext: Ellen told Mary to dance.\n\nQuestion:  Who danced, Ellen or Mary?\nAnswer: ', ' Ellen danced')"
