,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
188,jurassic-jumbo,object-control,Avery,Stephanie,False,convinced,to run,Stephanie,other,"You will be given a context and a question.
Context: Avery convinced Stephanie to run.

Question: Who was convinced to run?
Answer: Stephanie
Question: Who convinced someone to run?
Answer: Avery
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery convinced Stephanie to run.\n\nQuestion: Who was convinced to run?\nAnswer: Stephanie\nQuestion: Who convinced someone to run?\nAnswer: Avery\nQuestion: Who ran?\nAnswer: ', '(S')",188.0,188.0,188.0
189,jurassic-jumbo,object-control,Avery,Stephanie,False,convinced,to call,Stephanie,other,"You will be given a context and a question.
Context: Avery convinced Stephanie to call.

Question: Who convinced someone to call?
Answer: Avery
Question: Who was convinced to call?
Answer: Stephanie
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery convinced Stephanie to call.\n\nQuestion: Who convinced someone to call?\nAnswer: Avery\nQuestion: Who was convinced to call?\nAnswer: Stephanie\nQuestion: Who called?\nAnswer: ', '(S')",189.0,189.0,189.0
190,jurassic-jumbo,object-control,Avery,Stephanie,False,forced,to come,Stephanie,other,"You will be given a context and a question.
Context: Avery forced Stephanie to come.

Question: Who was forced to come?
Answer: Stephanie
Question: Who forced someone to come?
Answer: Avery
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery forced Stephanie to come.\n\nQuestion: Who was forced to come?\nAnswer: Stephanie\nQuestion: Who forced someone to come?\nAnswer: Avery\nQuestion: Who came?\nAnswer: ', '(S')",190.0,190.0,190.0
191,jurassic-jumbo,object-control,Avery,Stephanie,False,forced,to go,Stephanie,other,"You will be given a context and a question.
Context: Avery forced Stephanie to go.

Question: Who forced someone to go?
Answer: Avery
Question: Who was forced to go?
Answer: Stephanie
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery forced Stephanie to go.\n\nQuestion: Who forced someone to go?\nAnswer: Avery\nQuestion: Who was forced to go?\nAnswer: Stephanie\nQuestion: Who went?\nAnswer: ', '(S')",191.0,191.0,191.0
192,jurassic-jumbo,object-control,Avery,Stephanie,False,forced,to read,Stephanie,other,"You will be given a context and a question.
Context: Avery forced Stephanie to read.

Question: Who forced someone to read?
Answer: Avery
Question: Who was forced to read?
Answer: Stephanie
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery forced Stephanie to read.\n\nQuestion: Who forced someone to read?\nAnswer: Avery\nQuestion: Who was forced to read?\nAnswer: Stephanie\nQuestion: Who read?\nAnswer: ', '(Both')",192.0,192.0,192.0
193,jurassic-jumbo,object-control,Avery,Stephanie,False,forced,to run,Stephanie,other,"You will be given a context and a question.
Context: Avery forced Stephanie to run.

Question: Who was forced to run?
Answer: Stephanie
Question: Who forced someone to run?
Answer: Avery
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery forced Stephanie to run.\n\nQuestion: Who was forced to run?\nAnswer: Stephanie\nQuestion: Who forced someone to run?\nAnswer: Avery\nQuestion: Who ran?\nAnswer: ', '(S')",193.0,193.0,193.0
194,jurassic-jumbo,object-control,Avery,Stephanie,False,forced,to call,Stephanie,Avery,"You will be given a context and a question.
Context: Avery forced Stephanie to call.

Question: Who forced someone to call?
Answer: Avery
Question: Who was forced to call?
Answer: Stephanie
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery forced Stephanie to call.\n\nQuestion: Who forced someone to call?\nAnswer: Avery\nQuestion: Who was forced to call?\nAnswer: Stephanie\nQuestion: Who called?\nAnswer: ', '(A')",194.0,194.0,194.0
195,jurassic-jumbo,object-control,Avery,Stephanie,False,pushed,to come,Stephanie,other,"You will be given a context and a question.
Context: Avery pushed Stephanie to come.

Question: Who was pushed to come?
Answer: Stephanie
Question: Who pushed someone to come?
Answer: Avery
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery pushed Stephanie to come.\n\nQuestion: Who was pushed to come?\nAnswer: Stephanie\nQuestion: Who pushed someone to come?\nAnswer: Avery\nQuestion: Who came?\nAnswer: ', '____')",195.0,195.0,195.0
196,jurassic-jumbo,object-control,Avery,Stephanie,False,pushed,to go,Stephanie,other,"You will be given a context and a question.
Context: Avery pushed Stephanie to go.

Question: Who pushed someone to go?
Answer: Avery
Question: Who was pushed to go?
Answer: Stephanie
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery pushed Stephanie to go.\n\nQuestion: Who pushed someone to go?\nAnswer: Avery\nQuestion: Who was pushed to go?\nAnswer: Stephanie\nQuestion: Who went?\nAnswer: ', '(S')",196.0,196.0,196.0
197,jurassic-jumbo,object-control,Avery,Stephanie,False,pushed,to read,Stephanie,other,"You will be given a context and a question.
Context: Avery pushed Stephanie to read.

Question: Who pushed someone to read?
Answer: Avery
Question: Who was pushed to read?
Answer: Stephanie
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery pushed Stephanie to read.\n\nQuestion: Who pushed someone to read?\nAnswer: Avery\nQuestion: Who was pushed to read?\nAnswer: Stephanie\nQuestion: Who read?\nAnswer: ', '____')",197.0,197.0,197.0
198,jurassic-jumbo,object-control,Avery,Stephanie,False,pushed,to run,Stephanie,other,"You will be given a context and a question.
Context: Avery pushed Stephanie to run.

Question: Who pushed someone to run?
Answer: Avery
Question: Who was pushed to run?
Answer: Stephanie
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery pushed Stephanie to run.\n\nQuestion: Who pushed someone to run?\nAnswer: Avery\nQuestion: Who was pushed to run?\nAnswer: Stephanie\nQuestion: Who ran?\nAnswer: ', '____')",198.0,198.0,198.0
199,jurassic-jumbo,object-control,Avery,Stephanie,False,pushed,to call,Stephanie,other,"You will be given a context and a question.
Context: Avery pushed Stephanie to call.

Question: Who pushed someone to call?
Answer: Avery
Question: Who was pushed to call?
Answer: Stephanie
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery pushed Stephanie to call.\n\nQuestion: Who pushed someone to call?\nAnswer: Avery\nQuestion: Who was pushed to call?\nAnswer: Stephanie\nQuestion: Who called?\nAnswer: ', '____')",199.0,199.0,199.0
200,jurassic-jumbo,object-control,Avery,William,False,told,to come,William,William,"You will be given a context and a question.
Context: Avery told William to come.

Question: Who told someone to come?
Answer: Avery
Question: Who was told to come?
Answer: William
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery told William to come.\n\nQuestion: Who told someone to come?\nAnswer: Avery\nQuestion: Who was told to come?\nAnswer: William\nQuestion: Who came?\nAnswer: ', '(William')",200.0,200.0,200.0
201,jurassic-jumbo,object-control,Avery,William,False,told,to go,William,William,"You will be given a context and a question.
Context: Avery told William to go.

Question: Who was told to go?
Answer: William
Question: Who told someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery told William to go.\n\nQuestion: Who was told to go?\nAnswer: William\nQuestion: Who told someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', '(William')",201.0,201.0,201.0
202,jurassic-jumbo,object-control,Avery,William,False,told,to read,William,William,"You will be given a context and a question.
Context: Avery told William to read.

Question: Who was told to read?
Answer: William
Question: Who told someone to read?
Answer: Avery
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery told William to read.\n\nQuestion: Who was told to read?\nAnswer: William\nQuestion: Who told someone to read?\nAnswer: Avery\nQuestion: Who read?\nAnswer: ', '(William')",202.0,202.0,202.0
203,jurassic-jumbo,object-control,Avery,William,False,told,to run,William,William,"You will be given a context and a question.
Context: Avery told William to run.

Question: Who told someone to run?
Answer: Avery
Question: Who was told to run?
Answer: William
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery told William to run.\n\nQuestion: Who told someone to run?\nAnswer: Avery\nQuestion: Who was told to run?\nAnswer: William\nQuestion: Who ran?\nAnswer: ', '(William')",203.0,203.0,203.0
204,jurassic-jumbo,object-control,Avery,William,False,told,to call,William,other,"You will be given a context and a question.
Context: Avery told William to call.

Question: Who was told to call?
Answer: William
Question: Who told someone to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery told William to call.\n\nQuestion: Who was told to call?\nAnswer: William\nQuestion: Who told someone to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', '?\n')",204.0,204.0,204.0
205,jurassic-jumbo,object-control,Avery,William,False,ordered,to come,William,William,"You will be given a context and a question.
Context: Avery ordered William to come.

Question: Who ordered someone to come?
Answer: Avery
Question: Who was ordered to come?
Answer: William
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery ordered William to come.\n\nQuestion: Who ordered someone to come?\nAnswer: Avery\nQuestion: Who was ordered to come?\nAnswer: William\nQuestion: Who came?\nAnswer: ', '(William')",205.0,205.0,205.0
206,jurassic-jumbo,object-control,Avery,William,False,ordered,to go,William,William,"You will be given a context and a question.
Context: Avery ordered William to go.

Question: Who ordered someone to go?
Answer: Avery
Question: Who was ordered to go?
Answer: William
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery ordered William to go.\n\nQuestion: Who ordered someone to go?\nAnswer: Avery\nQuestion: Who was ordered to go?\nAnswer: William\nQuestion: Who went?\nAnswer: ', '(William')",206.0,206.0,206.0
207,jurassic-jumbo,object-control,Avery,William,False,ordered,to read,William,William,"You will be given a context and a question.
Context: Avery ordered William to read.

Question: Who ordered someone to read?
Answer: Avery
Question: Who was ordered to read?
Answer: William
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery ordered William to read.\n\nQuestion: Who ordered someone to read?\nAnswer: Avery\nQuestion: Who was ordered to read?\nAnswer: William\nQuestion: Who read?\nAnswer: ', '(William')",207.0,207.0,207.0
208,jurassic-jumbo,object-control,Avery,William,False,ordered,to run,William,William,"You will be given a context and a question.
Context: Avery ordered William to run.

Question: Who was ordered to run?
Answer: William
Question: Who ordered someone to run?
Answer: Avery
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery ordered William to run.\n\nQuestion: Who was ordered to run?\nAnswer: William\nQuestion: Who ordered someone to run?\nAnswer: Avery\nQuestion: Who ran?\nAnswer: ', '(William')",208.0,208.0,208.0
209,jurassic-jumbo,object-control,Avery,William,False,ordered,to call,William,other,"You will be given a context and a question.
Context: Avery ordered William to call.

Question: Who ordered someone to call?
Answer: Avery
Question: Who was ordered to call?
Answer: William
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery ordered William to call.\n\nQuestion: Who ordered someone to call?\nAnswer: Avery\nQuestion: Who was ordered to call?\nAnswer: William\nQuestion: Who called?\nAnswer: ', '?\n')",209.0,209.0,209.0
210,jurassic-jumbo,object-control,Avery,William,False,called upon,to come,William,William,"You will be given a context and a question.
Context: Avery called upon William to come.

Question: Who called upon someone to come?
Answer: Avery
Question: Who was called upon to come?
Answer: William
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery called upon William to come.\n\nQuestion: Who called upon someone to come?\nAnswer: Avery\nQuestion: Who was called upon to come?\nAnswer: William\nQuestion: Who came?\nAnswer: ', '(William')",210.0,210.0,210.0
211,jurassic-jumbo,object-control,Avery,William,False,called upon,to go,William,William,"You will be given a context and a question.
Context: Avery called upon William to go.

Question: Who was called upon to go?
Answer: William
Question: Who called upon someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery called upon William to go.\n\nQuestion: Who was called upon to go?\nAnswer: William\nQuestion: Who called upon someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', '(William')",211.0,211.0,211.0
212,jurassic-jumbo,object-control,Avery,William,False,called upon,to read,William,William,"You will be given a context and a question.
Context: Avery called upon William to read.

Question: Who was called upon to read?
Answer: William
Question: Who called upon someone to read?
Answer: Avery
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery called upon William to read.\n\nQuestion: Who was called upon to read?\nAnswer: William\nQuestion: Who called upon someone to read?\nAnswer: Avery\nQuestion: Who read?\nAnswer: ', '(William')",212.0,212.0,212.0
213,jurassic-jumbo,object-control,Avery,William,False,called upon,to run,William,William,"You will be given a context and a question.
Context: Avery called upon William to run.

Question: Who called upon someone to run?
Answer: Avery
Question: Who was called upon to run?
Answer: William
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery called upon William to run.\n\nQuestion: Who called upon someone to run?\nAnswer: Avery\nQuestion: Who was called upon to run?\nAnswer: William\nQuestion: Who ran?\nAnswer: ', '(William')",213.0,213.0,213.0
214,jurassic-jumbo,object-control,Avery,William,False,called upon,to call,William,William,"You will be given a context and a question.
Context: Avery called upon William to call.

Question: Who was called upon to call?
Answer: William
Question: Who called upon someone to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery called upon William to call.\n\nQuestion: Who was called upon to call?\nAnswer: William\nQuestion: Who called upon someone to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', '(William')",214.0,214.0,214.0
215,jurassic-jumbo,object-control,Avery,William,False,reminded,to come,William,William,"You will be given a context and a question.
Context: Avery reminded William to come.

Question: Who was reminded to come?
Answer: William
Question: Who reminded someone to come?
Answer: Avery
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery reminded William to come.\n\nQuestion: Who was reminded to come?\nAnswer: William\nQuestion: Who reminded someone to come?\nAnswer: Avery\nQuestion: Who came?\nAnswer: ', '(William')",215.0,215.0,215.0
216,jurassic-jumbo,object-control,Avery,William,False,reminded,to go,William,William,"You will be given a context and a question.
Context: Avery reminded William to go.

Question: Who reminded someone to go?
Answer: Avery
Question: Who was reminded to go?
Answer: William
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery reminded William to go.\n\nQuestion: Who reminded someone to go?\nAnswer: Avery\nQuestion: Who was reminded to go?\nAnswer: William\nQuestion: Who went?\nAnswer: ', '(William')",216.0,216.0,216.0
217,jurassic-jumbo,object-control,Avery,William,False,reminded,to read,William,William,"You will be given a context and a question.
Context: Avery reminded William to read.

Question: Who was reminded to read?
Answer: William
Question: Who reminded someone to read?
Answer: Avery
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery reminded William to read.\n\nQuestion: Who was reminded to read?\nAnswer: William\nQuestion: Who reminded someone to read?\nAnswer: Avery\nQuestion: Who read?\nAnswer: ', '(William')",217.0,217.0,217.0
218,jurassic-jumbo,object-control,Avery,William,False,reminded,to run,William,William,"You will be given a context and a question.
Context: Avery reminded William to run.

Question: Who was reminded to run?
Answer: William
Question: Who reminded someone to run?
Answer: Avery
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery reminded William to run.\n\nQuestion: Who was reminded to run?\nAnswer: William\nQuestion: Who reminded someone to run?\nAnswer: Avery\nQuestion: Who ran?\nAnswer: ', '(William')",218.0,218.0,218.0
219,jurassic-jumbo,object-control,Avery,William,False,reminded,to call,William,William,"You will be given a context and a question.
Context: Avery reminded William to call.

Question: Who was reminded to call?
Answer: William
Question: Who reminded someone to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery reminded William to call.\n\nQuestion: Who was reminded to call?\nAnswer: William\nQuestion: Who reminded someone to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', '(William')",219.0,219.0,219.0
220,jurassic-jumbo,object-control,Avery,William,False,urged,to come,William,William,"You will be given a context and a question.
Context: Avery urged William to come.

Question: Who urged someone to come?
Answer: Avery
Question: Who was urged to come?
Answer: William
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery urged William to come.\n\nQuestion: Who urged someone to come?\nAnswer: Avery\nQuestion: Who was urged to come?\nAnswer: William\nQuestion: Who came?\nAnswer: ', '(William')",220.0,220.0,220.0
221,jurassic-jumbo,object-control,Avery,William,False,urged,to go,William,William,"You will be given a context and a question.
Context: Avery urged William to go.

Question: Who was urged to go?
Answer: William
Question: Who urged someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery urged William to go.\n\nQuestion: Who was urged to go?\nAnswer: William\nQuestion: Who urged someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', '(William')",221.0,221.0,221.0
222,jurassic-jumbo,object-control,Avery,William,False,urged,to read,William,other,"You will be given a context and a question.
Context: Avery urged William to read.

Question: Who urged someone to read?
Answer: Avery
Question: Who was urged to read?
Answer: William
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery urged William to read.\n\nQuestion: Who urged someone to read?\nAnswer: Avery\nQuestion: Who was urged to read?\nAnswer: William\nQuestion: Who read?\nAnswer: ', '____')",222.0,222.0,222.0
223,jurassic-jumbo,object-control,Avery,William,False,urged,to run,William,William,"You will be given a context and a question.
Context: Avery urged William to run.

Question: Who was urged to run?
Answer: William
Question: Who urged someone to run?
Answer: Avery
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery urged William to run.\n\nQuestion: Who was urged to run?\nAnswer: William\nQuestion: Who urged someone to run?\nAnswer: Avery\nQuestion: Who ran?\nAnswer: ', '(William')",223.0,223.0,223.0
224,jurassic-jumbo,object-control,Avery,William,False,urged,to call,William,other,"You will be given a context and a question.
Context: Avery urged William to call.

Question: Who urged someone to call?
Answer: Avery
Question: Who was urged to call?
Answer: William
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery urged William to call.\n\nQuestion: Who urged someone to call?\nAnswer: Avery\nQuestion: Who was urged to call?\nAnswer: William\nQuestion: Who called?\nAnswer: ', '____')",224.0,224.0,224.0
225,jurassic-jumbo,object-control,Avery,William,False,asked,to come,William,William,"You will be given a context and a question.
Context: Avery asked William to come.

Question: Who asked someone to come?
Answer: Avery
Question: Who was asked to come?
Answer: William
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery asked William to come.\n\nQuestion: Who asked someone to come?\nAnswer: Avery\nQuestion: Who was asked to come?\nAnswer: William\nQuestion: Who came?\nAnswer: ', '(William')",225.0,225.0,225.0
226,jurassic-jumbo,object-control,Avery,William,False,asked,to go,William,William,"You will be given a context and a question.
Context: Avery asked William to go.

Question: Who asked someone to go?
Answer: Avery
Question: Who was asked to go?
Answer: William
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery asked William to go.\n\nQuestion: Who asked someone to go?\nAnswer: Avery\nQuestion: Who was asked to go?\nAnswer: William\nQuestion: Who went?\nAnswer: ', '(William')",226.0,226.0,226.0
227,jurassic-jumbo,object-control,Avery,William,False,asked,to read,William,William,"You will be given a context and a question.
Context: Avery asked William to read.

Question: Who asked someone to read?
Answer: Avery
Question: Who was asked to read?
Answer: William
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery asked William to read.\n\nQuestion: Who asked someone to read?\nAnswer: Avery\nQuestion: Who was asked to read?\nAnswer: William\nQuestion: Who read?\nAnswer: ', '(William')",227.0,227.0,227.0
228,jurassic-jumbo,object-control,Avery,William,False,asked,to run,William,William,"You will be given a context and a question.
Context: Avery asked William to run.

Question: Who asked someone to run?
Answer: Avery
Question: Who was asked to run?
Answer: William
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery asked William to run.\n\nQuestion: Who asked someone to run?\nAnswer: Avery\nQuestion: Who was asked to run?\nAnswer: William\nQuestion: Who ran?\nAnswer: ', '(William')",228.0,228.0,228.0
229,jurassic-jumbo,object-control,Avery,William,False,asked,to call,William,other,"You will be given a context and a question.
Context: Avery asked William to call.

Question: Who asked someone to call?
Answer: Avery
Question: Who was asked to call?
Answer: William
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery asked William to call.\n\nQuestion: Who asked someone to call?\nAnswer: Avery\nQuestion: Who was asked to call?\nAnswer: William\nQuestion: Who called?\nAnswer: ', '?\n')",229.0,229.0,229.0
230,jurassic-jumbo,object-control,Avery,William,False,persuaded,to come,William,William,"You will be given a context and a question.
Context: Avery persuaded William to come.

Question: Who persuaded someone to come?
Answer: Avery
Question: Who was persuaded to come?
Answer: William
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery persuaded William to come.\n\nQuestion: Who persuaded someone to come?\nAnswer: Avery\nQuestion: Who was persuaded to come?\nAnswer: William\nQuestion: Who came?\nAnswer: ', '(William')",230.0,230.0,230.0
231,jurassic-jumbo,object-control,Avery,William,False,persuaded,to go,William,William,"You will be given a context and a question.
Context: Avery persuaded William to go.

Question: Who was persuaded to go?
Answer: William
Question: Who persuaded someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery persuaded William to go.\n\nQuestion: Who was persuaded to go?\nAnswer: William\nQuestion: Who persuaded someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', '(William')",231.0,231.0,231.0
232,jurassic-jumbo,object-control,Avery,William,False,persuaded,to read,William,William,"You will be given a context and a question.
Context: Avery persuaded William to read.

Question: Who persuaded someone to read?
Answer: Avery
Question: Who was persuaded to read?
Answer: William
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery persuaded William to read.\n\nQuestion: Who persuaded someone to read?\nAnswer: Avery\nQuestion: Who was persuaded to read?\nAnswer: William\nQuestion: Who read?\nAnswer: ', '(William')",232.0,232.0,232.0
233,jurassic-jumbo,object-control,Avery,William,False,persuaded,to run,William,William,"You will be given a context and a question.
Context: Avery persuaded William to run.

Question: Who persuaded someone to run?
Answer: Avery
Question: Who was persuaded to run?
Answer: William
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery persuaded William to run.\n\nQuestion: Who persuaded someone to run?\nAnswer: Avery\nQuestion: Who was persuaded to run?\nAnswer: William\nQuestion: Who ran?\nAnswer: ', '(William')",233.0,233.0,233.0
234,jurassic-jumbo,object-control,Avery,William,False,persuaded,to call,William,other,"You will be given a context and a question.
Context: Avery persuaded William to call.

Question: Who was persuaded to call?
Answer: William
Question: Who persuaded someone to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery persuaded William to call.\n\nQuestion: Who was persuaded to call?\nAnswer: William\nQuestion: Who persuaded someone to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', '____')",234.0,234.0,234.0
235,jurassic-jumbo,object-control,Avery,William,False,convinced,to come,William,William,"You will be given a context and a question.
Context: Avery convinced William to come.

Question: Who was convinced to come?
Answer: William
Question: Who convinced someone to come?
Answer: Avery
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery convinced William to come.\n\nQuestion: Who was convinced to come?\nAnswer: William\nQuestion: Who convinced someone to come?\nAnswer: Avery\nQuestion: Who came?\nAnswer: ', '(William')",235.0,235.0,235.0
236,jurassic-jumbo,object-control,Avery,William,False,convinced,to go,William,William,"You will be given a context and a question.
Context: Avery convinced William to go.

Question: Who was convinced to go?
Answer: William
Question: Who convinced someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery convinced William to go.\n\nQuestion: Who was convinced to go?\nAnswer: William\nQuestion: Who convinced someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', '(William')",236.0,236.0,236.0
237,jurassic-jumbo,object-control,Avery,William,False,convinced,to read,William,William,"You will be given a context and a question.
Context: Avery convinced William to read.

Question: Who convinced someone to read?
Answer: Avery
Question: Who was convinced to read?
Answer: William
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery convinced William to read.\n\nQuestion: Who convinced someone to read?\nAnswer: Avery\nQuestion: Who was convinced to read?\nAnswer: William\nQuestion: Who read?\nAnswer: ', '(William')",237.0,237.0,237.0
238,jurassic-jumbo,object-control,Avery,William,False,convinced,to run,William,William,"You will be given a context and a question.
Context: Avery convinced William to run.

Question: Who convinced someone to run?
Answer: Avery
Question: Who was convinced to run?
Answer: William
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery convinced William to run.\n\nQuestion: Who convinced someone to run?\nAnswer: Avery\nQuestion: Who was convinced to run?\nAnswer: William\nQuestion: Who ran?\nAnswer: ', '(William')",238.0,238.0,238.0
239,jurassic-jumbo,object-control,Avery,William,False,convinced,to call,William,William,"You will be given a context and a question.
Context: Avery convinced William to call.

Question: Who was convinced to call?
Answer: William
Question: Who convinced someone to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery convinced William to call.\n\nQuestion: Who was convinced to call?\nAnswer: William\nQuestion: Who convinced someone to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', '(William')",239.0,239.0,239.0
240,jurassic-jumbo,object-control,Avery,William,False,forced,to come,William,William,"You will be given a context and a question.
Context: Avery forced William to come.

Question: Who was forced to come?
Answer: William
Question: Who forced someone to come?
Answer: Avery
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery forced William to come.\n\nQuestion: Who was forced to come?\nAnswer: William\nQuestion: Who forced someone to come?\nAnswer: Avery\nQuestion: Who came?\nAnswer: ', '(William')",240.0,240.0,240.0
241,jurassic-jumbo,object-control,Avery,William,False,forced,to go,William,William,"You will be given a context and a question.
Context: Avery forced William to go.

Question: Who forced someone to go?
Answer: Avery
Question: Who was forced to go?
Answer: William
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery forced William to go.\n\nQuestion: Who forced someone to go?\nAnswer: Avery\nQuestion: Who was forced to go?\nAnswer: William\nQuestion: Who went?\nAnswer: ', '(William')",241.0,241.0,241.0
242,jurassic-jumbo,object-control,Avery,William,False,forced,to read,William,William,"You will be given a context and a question.
Context: Avery forced William to read.

Question: Who was forced to read?
Answer: William
Question: Who forced someone to read?
Answer: Avery
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery forced William to read.\n\nQuestion: Who was forced to read?\nAnswer: William\nQuestion: Who forced someone to read?\nAnswer: Avery\nQuestion: Who read?\nAnswer: ', '(William')",242.0,242.0,242.0
243,jurassic-jumbo,object-control,Avery,William,False,forced,to run,William,William,"You will be given a context and a question.
Context: Avery forced William to run.

Question: Who was forced to run?
Answer: William
Question: Who forced someone to run?
Answer: Avery
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery forced William to run.\n\nQuestion: Who was forced to run?\nAnswer: William\nQuestion: Who forced someone to run?\nAnswer: Avery\nQuestion: Who ran?\nAnswer: ', '(William')",243.0,243.0,243.0
244,jurassic-jumbo,object-control,Avery,William,False,forced,to call,William,William,"You will be given a context and a question.
Context: Avery forced William to call.

Question: Who was forced to call?
Answer: William
Question: Who forced someone to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery forced William to call.\n\nQuestion: Who was forced to call?\nAnswer: William\nQuestion: Who forced someone to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', '(William')",244.0,244.0,244.0
245,jurassic-jumbo,object-control,Avery,William,False,pushed,to come,William,William,"You will be given a context and a question.
Context: Avery pushed William to come.

Question: Who pushed someone to come?
Answer: Avery
Question: Who was pushed to come?
Answer: William
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery pushed William to come.\n\nQuestion: Who pushed someone to come?\nAnswer: Avery\nQuestion: Who was pushed to come?\nAnswer: William\nQuestion: Who came?\nAnswer: ', '(William')",245.0,245.0,245.0
246,jurassic-jumbo,object-control,Avery,William,False,pushed,to go,William,William,"You will be given a context and a question.
Context: Avery pushed William to go.

Question: Who was pushed to go?
Answer: William
Question: Who pushed someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery pushed William to go.\n\nQuestion: Who was pushed to go?\nAnswer: William\nQuestion: Who pushed someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', '(William')",246.0,246.0,246.0
